ID_village,City,Subdistrict,Village,Positive,Recovery,Mortality,Vaccine_d1,Vaccine_d2,Vaccine_d3
3172051003,JAKARTA UTARA,PADEMANGAN,ANCOL,3077,3018,30,19660,17170,8986
3173041007,JAKARTA BARAT,TAMBORA,ANGKE,3003,2946,35,24517,21312,12257
3175041005,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,3327,3264,37,23628,20515,9818
3175031003,JAKARTA TIMUR,JATINEGARA,BALI MESTER,1441,1403,20,8219,7462,4497
3175101006,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,4417,4364,36,22623,20645,11159
3174031002,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,3356,3298,29,17868,16074,7912
3175051002,JAKARTA TIMUR,PASAR REBO,BARU,3877,3808,44,20943,19267,11844
3175041004,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,6068,5943,84,39285,34580,17519
3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,3821,3734,47,18030,16454,10441
3175031002,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,4639,4539,69,29825,26553,13974
3174101002,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,7045,6876,93,44584,41594,23208
3174011005,JAKARTA SELATAN,TEBET,BUKIT DURI,3596,3540,40,28955,26040,13296
3171041006,JAKARTA PUSAT,SENEN,BUNGUR,2240,2185,29,15141,13446,7482
3175061007,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,2918,2882,29,48512,42821,22389
3175061004,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,4492,4398,58,49280,43862,22998
3175041007,JAKARTA TIMUR,KRAMAT JATI,CAWANG,4633,4565,43,27550,24458,13633
3175101008,JAKARTA TIMUR,CIPAYUNG,CEGER,3041,2971,38,16123,14572,8025
3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,4398,4303,69,27845,25012,13527
3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,6062,5934,87,30071,27461,15089
3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,5155,5039,65,20324,19078,11715
3173011001,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,9083,8846,121,56183,51233,28155
3173011006,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,9248,9056,119,68602,61501,32418
3175091002,JAKARTA TIMUR,CIRACAS,CIBUBUR,8825,8680,90,57524,52642,29108
3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,3004,2928,37,12907,12090,8060
3174091003,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,6223,6107,60,33449,30460,16209
3175051003,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,5596,5476,92,35615,32213,18150
3171061003,JAKARTA PUSAT,MENTENG,CIKINI,1290,1259,16,7100,6197,3546
